,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
362,2016-03-25 16:13:01,54439761,12907.0,3848.0,0,97279
363,2016-03-25 16:13:11,54617297,12949.0,3855.0,0,177536
364,2016-03-25 16:13:21,54796816,12992.0,3871.0,0,179519
365,2016-03-25 16:13:32,54936343,13024.0,3883.0,0,139527
366,2016-03-25 16:13:42,55062106,13054.0,3890.0,0,125763
367,2016-03-25 16:13:52,55192982,13086.0,3896.0,0,130876
368,2016-03-25 16:14:02,55370154,13127.0,3910.0,0,177172
369,2016-03-25 16:14:13,55477314,13153.0,3917.0,0,107160
370,2016-03-25 16:14:23,55627002,13188.0,3929.0,0,149688
371,2016-03-25 16:14:33,55794451,13228.0,3943.0,0,167449
372,2016-03-25 16:14:43,55947987,13264.0,3956.0,0,153536
373,2016-03-25 16:14:54,56086460,13297.0,3964.0,0,138473
374,2016-03-25 16:15:04,56246444,13335.0,3975.0,0,159984
375,2016-03-25 16:15:14,56450019,13384.0,3989.0,0,203575
376,2016-03-25 16:15:24,56594068,13417.0,3996.0,0,144049
377,2016-03-25 16:15:35,56708740,13445.0,4001.0,0,114672
378,2016-03-25 16:15:45,56862717,13481.0,4021.0,0,153977
379,2016-03-25 16:15:55,56962657,13505.0,4024.0,0,99940
380,2016-03-25 16:16:05,57114348,13541.0,4035.0,0,151691
381,2016-03-25 16:16:16,57290251,13583.0,4047.0,0,175903
382,2016-03-25 16:16:26,57429087,13616.0,4057.0,0,138836
383,2016-03-25 16:16:36,57541776,13642.0,4065.0,0,112689
384,2016-03-25 16:16:46,57753966,13693.0,4083.0,0,212190
385,2016-03-25 16:16:56,57919203,13732.0,4091.0,0,165237
386,2016-03-25 16:17:07,58067418,13767.0,4105.0,0,148215
387,2016-03-25 16:17:17,58216097,13802.0,4114.0,0,148679
388,2016-03-25 16:17:27,58329447,13829.0,4114.0,0,113350
389,2016-03-25 16:17:37,58489261,13867.0,4133.0,0,159814
390,2016-03-25 16:17:48,58605063,13894.0,4144.0,0,115802
391,2016-03-25 16:17:58,58781912,13936.0,4151.0,0,176849
392,2016-03-25 16:18:08,58911645,13967.0,4163.0,0,129733
393,2016-03-25 16:18:18,59039601,13997.0,4172.0,0,127956
394,2016-03-25 16:18:29,59261346,14050.0,4186.0,0,221745
395,2016-03-25 16:18:39,59393359,14081.0,4195.0,0,132013
396,2016-03-25 16:18:49,59569160,14123.0,4212.0,0,175801
397,2016-03-25 16:18:59,59690116,14151.0,4218.0,0,120956
398,2016-03-25 16:19:09,59842191,14187.0,4228.0,0,152075
399,2016-03-25 16:19:20,60029286,14232.0,4241.0,0,187095
400,2016-03-25 16:19:30,60184270,14269.0,4251.0,0,154984
401,2016-03-25 16:19:40,60349712,14308.0,4262.0,0,165442
402,2016-03-25 16:19:51,60478127,14338.0,4276.0,0,128415
403,2016-03-25 16:20:01,60652328,14380.0,4285.0,0,174201
404,2016-03-25 16:20:11,60780284,14410.0,4292.0,0,127956
405,2016-03-25 16:20:21,60900540,14439.0,4302.0,0,120256
406,2016-03-25 16:20:32,61074897,14480.0,4306.0,0,174357
407,2016-03-25 16:20:42,61235291,14518.0,4327.0,0,160394
408,2016-03-25 16:20:52,61421481,14562.0,4339.0,0,186190
